SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
1625,,,0.192,0.001,-0.002,-0.012,-0.011,-0.027,-0.041,-0.025,0.007,0.067,0.114,0.065,0.026,-0.008,-0.045,-0.072,-0.078,-0.035,-0.016,0.023,0.069
1626,,,0.263,-0.029,-0.032,-0.026,0.005,-0.038,-0.1,-0.041,0.002,0.043,0.163,0.131,0.128,0.036,-0.001,-0.054,-0.063,-0.036,-0.03,-0.032,-0.026
1627,,,0.137,-0.023,-0.019,-0.01,0.014,-0.015,-0.047,0,0.021,0.021,0.078,0.059,0.05,-0.001,-0.031,-0.059,-0.05,-0.004,0.01,0.009,-0.002
1628,,,0.11,0.004,0.004,-0.002,0,-0.007,-0.007,0.004,0.021,0.036,0.04,0.006,-0.02,-0.026,-0.055,-0.064,-0.053,0.004,0.026,0.046,0.043
1629,,,0.127,0.004,-0.001,-0.016,-0.019,-0.025,-0.024,-0.017,0.003,0.023,0.07,0.049,0.032,0.036,0,-0.029,-0.057,-0.039,-0.028,0.004,0.033
1630,,,0.211,0.001,-0.003,-0.012,-0.008,-0.029,-0.05,-0.026,0.012,0.074,0.125,0.072,0.03,-0.013,-0.052,-0.081,-0.086,-0.042,-0.021,0.025,0.087
1631,,,0.163,0.012,0.007,-0.005,-0.011,-0.022,-0.03,-0.024,0.008,0.071,0.091,0.038,-0.006,-0.022,-0.057,-0.072,-0.069,-0.017,0.003,0.04,0.066
1632,,,0.205,-0.006,-0.007,-0.012,-0.007,-0.026,-0.048,-0.025,0.012,0.07,0.122,0.071,0.034,-0.009,-0.048,-0.079,-0.083,-0.039,-0.017,0.022,0.074
1633,,,0.249,-0.039,-0.036,-0.028,0.004,-0.037,-0.09,-0.029,0.012,0.053,0.159,0.124,0.118,0.026,-0.013,-0.062,-0.061,-0.024,-0.019,-0.022,-0.037
1634,,,0.287,-0.054,-0.049,-0.038,-0.001,-0.043,-0.102,-0.034,0.013,0.055,0.185,0.155,0.146,0.05,0.007,-0.053,-0.059,-0.034,-0.037,-0.044,-0.062
